,Country,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
63,Myanmar,13.75,11.34,12.03,13.84,13.57,13.57,13.08,11.99,3.60,5.14,5.35,5.91,7.30,8.25,8.50
64,Netherlands,3.94,1.64,-0.04,0.27,1.86,2.25,3.82,4.20,2.09,-3.30,1.07,1.66,-1.59,-0.72,0.60
65,New Zealand,4.17,2.53,4.90,4.20,4.42,3.25,2.80,3.42,-0.85,-1.40,2.07,1.88,2.50,2.84,3.60
66,Nicaragua,4.10,2.96,0.75,2.52,5.31,4.28,4.15,5.29,2.85,-2.76,3.30,5.69,4.95,4.61,4.00
67,Nigeria,7.87,10.79,24.11,13.01,13.27,7.95,8.79,9.56,8.55,9.55,10.59,4.89,4.28,5.39,6.97
68,Norway,3.25,1.99,1.50,0.98,3.96,2.59,2.30,2.65,0.07,-1.64,0.48,1.34,2.90,0.65,1.80
69,Pakistan,3.91,1.97,3.11,4.73,7.48,8.96,5.82,5.54,4.99,0.36,2.58,3.62,3.84,3.70,4.14
70,Panama,2.72,0.57,2.23,4.21,7.52,7.19,8.53,12.11,10.12,3.86,7.45,10.86,10.80,8.37,6.61
71,Paraguay,-2.31,-0.83,-0.02,4.32,4.06,2.13,4.81,5.42,6.36,-3.97,13.09,4.34,-1.24,13.55,4.00
72,Peru,3.30,0.66,5.30,2.82,4.96,6.29,7.53,8.52,9.14,1.05,8.45,6.45,5.95,5.79,3.60
73,Philippines,4.41,2.89,3.65,4.97,6.70,4.78,5.24,6.62,4.15,1.15,7.63,3.66,6.80,7.18,6.24
74,Poland,4.26,1.21,1.44,3.87,5.35,3.62,6.23,6.79,5.13,1.63,3.88,4.52,1.99,1.55,3.25
75,Portugal,3.92,1.98,0.76,-0.91,1.56,0.78,1.45,2.37,-0.01,-2.91,1.94,-1.25,-3.23,-1.41,0.99
76,Romania,2.92,5.68,5.08,5.24,8.49,4.15,7.88,6.32,7.35,-6.58,-1.15,2.33,0.56,3.53,2.40
77,Russia,10.05,5.09,4.74,7.25,7.15,6.39,8.15,8.54,5.25,-7.80,4.50,4.30,3.40,1.30,0.24
78,Saudi Arabia,4.87,0.55,0.13,7.66,5.27,7.26,5.58,5.99,8.43,1.83,7.43,8.57,5.81,3.95,4.60
79,"Serbia, Republic of",5.25,5.30,4.34,2.50,9.33,5.40,3.56,5.38,3.82,-3.51,1.01,1.57,-1.52,2.50,-0.54
80,Singapore,8.90,-0.95,4.21,4.44,9.55,7.49,8.86,9.11,1.79,-0.60,15.24,6.06,2.50,3.85,2.96
81,Slovak Republic,1.37,3.48,4.58,4.78,5.06,6.66,8.35,10.49,5.75,-4.94,4.43,2.98,1.80,0.94,2.35
82,Slovenia,4.16,2.95,3.84,2.84,4.35,4.00,5.66,6.94,3.30,-7.80,1.22,0.61,-2.64,-1.00,1.44
83,South Africa,4.16,2.74,3.67,2.95,4.56,5.28,5.60,5.55,3.62,-1.53,3.14,3.60,2.47,1.89,1.40
84,Spain,5.05,3.67,2.71,3.09,3.26,3.59,4.08,3.48,0.89,-3.83,-0.20,0.05,-1.64,-1.22,1.31
85,Sri Lanka,6.02,-1.55,0.30,5.94,5.45,6.24,7.67,6.80,5.95,3.54,8.02,8.25,6.34,7.30,7.00
86,Sudan,23.64,7.97,5.74,8.23,6.61,0.43,8.91,8.49,3.04,4.69,3.01,-1.15,-2.75,3.31,3.03
87,Suriname,-0.10,4.90,3.75,6.19,7.31,4.92,5.77,5.10,4.15,3.02,4.21,5.30,4.80,4.10,3.26
88,Sweden,4.45,1.26,2.48,2.34,4.24,3.16,4.30,3.31,-0.61,-5.03,6.56,2.93,0.93,1.64,2.11
89,Switzerland,3.67,1.24,0.19,0.02,2.42,2.70,3.75,3.85,2.16,-1.94,2.95,1.79,1.05,1.93,1.25
90,Syria Arab Republic,2.30,3.68,5.90,-2.04,6.90,6.22,5.05,5.68,4.48,5.91,3.44,n/a,n/a,n/a,n/a
91,Taiwan Prov.of China,5.80,-1.65,5.26,3.67,6.19,4.70,5.44,5.98,0.73,-1.81,10.76,4.19,1.48,2.09,3.49
92,Thailand,4.75,2.17,5.32,7.13,6.32,4.64,5.09,5.04,2.48,-2.33,7.81,0.08,6.49,2.89,0.96
93,The Bahamas,4.15,2.63,2.71,-1.27,0.88,3.40,2.52,1.45,-2.32,-4.18,1.54,1.06,1.03,0.67,1.20
94,Trinidad and Tobago,7.56,4.17,7.94,14.44,7.95,6.21,13.21,4.75,3.39,-4.39,0.21,-2.58,1.25,1.62,2.34
95,Tunisia,4.30,4.85,1.70,5.47,5.96,4.00,5.65,6.25,4.46,3.11,2.62,-1.92,3.75,2.26,2.80
96,Turkey,6.77,-5.70,6.16,5.27,9.36,8.40,6.89,4.67,0.66,-4.83,9.16,8.77,2.13,4.05,3.03
97,Ukraine,5.93,9.23,5.20,9.60,12.10,2.70,7.30,7.90,2.30,-14.80,4.10,5.19,0.25,-0.04,-6.50
98,United Kingdom,4.36,2.19,2.30,3.95,3.17,3.24,2.76,3.43,-0.77,-5.17,1.66,1.12,0.28,1.74,3.21
99,United States,4.09,0.98,1.79,2.81,3.79,3.35,2.67,1.78,-0.29,-2.78,2.53,1.60,2.32,2.22,2.15
100,Uruguay,-1.78,-3.46,-7.05,2.33,4.64,6.81,4.10,6.54,7.18,2.35,8.40,7.34,3.68,4.40,2.80
101,"Venezuela, Rep. Bol.",3.69,3.39,-8.86,-7.76,18.29,10.32,9.87,8.75,5.28,-3.20,-1.49,4.18,5.63,1.34,-3.00
102,Vietnam,6.79,6.90,7.08,7.34,7.79,7.55,6.98,7.13,5.66,5.40,6.42,6.24,5.25,5.42,5.50
