,country,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
47,Jamaica,15.50,15.00,14.20,11.80,12.20,11.23,10.33,9.85,10.58,11.35,12.38,13.00,13.93,15.28,15.28
48,Japan,4.73,5.04,5.36,5.24,4.72,4.43,4.13,3.83,3.98,5.05,5.04,4.57,4.34,4.03,3.71
49,Jordan,13.71,14.69,15.32,14.44,14.70,14.84,14.06,13.10,12.65,12.94,12.50,12.90,12.20,12.20,12.20
50,Kazakhstan,12.75,10.43,9.33,8.78,8.40,8.10,7.80,7.26,6.63,6.58,5.78,5.40,5.29,5.23,5.23
51,Korea,4.43,4.02,3.28,3.57,3.68,3.73,3.47,3.25,3.18,3.65,3.73,3.41,3.23,3.13,3.13
52,Kuwait,0.78,1.10,1.30,1.22,1.42,1.35,1.37,1.70,1.67,1.64,2.07,2.07,2.07,2.07,2.07
53,Kyrgyz Republic,7.50,7.80,12.50,9.90,8.50,8.10,8.30,8.20,8.20,8.40,8.60,7.92,7.74,7.65,7.56
54,Latvia,14.43,13.09,11.97,10.59,10.44,9.02,6.84,6.05,7.53,16.90,18.68,16.20,15.05,11.86,10.29
55,Lithuania,16.37,17.36,13.76,12.42,10.89,8.33,5.78,4.25,5.83,13.79,17.81,15.39,13.37,11.77,11.00
56,Luxembourg,2.40,2.20,2.50,3.30,3.70,4.10,4.30,4.20,4.20,5.50,5.80,5.70,6.12,6.86,7.06
57,"Macedonia, FYR",31.73,30.52,31.94,36.69,37.15,37.25,36.03,34.93,33.78,32.18,32.05,31.38,31.30,30.02,28.96
58,Malaysia,3.10,3.68,3.48,3.60,3.55,3.55,3.33,3.23,3.33,3.68,3.30,3.05,3.03,3.10,3.00
59,Malta,6.76,7.62,7.43,7.72,7.22,6.94,6.82,6.47,5.98,6.88,6.87,6.39,6.31,6.38,6.00
60,Mauritius,6.50,6.80,7.20,7.70,8.39,9.57,9.08,8.52,7.22,7.33,7.80,7.90,8.00,8.00,NA
61,Mexico,2.20,2.77,2.98,3.40,3.92,3.59,3.59,3.72,3.97,5.46,5.37,5.22,4.96,4.92,4.75
62,Moldova,8.50,7.30,6.80,7.90,8.10,7.30,7.40,5.10,4.00,6.40,7.40,6.70,5.60,5.10,6.00
63,"Montenegro, Rep. of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Morocco,13.39,12.26,11.33,11.43,10.80,11.06,9.67,9.80,9.57,9.09,9.06,8.91,8.99,9.23,9.13
65,Myanmar,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
66,Netherlands,3.06,2.54,3.08,4.15,5.07,5.29,4.36,3.58,3.07,3.73,4.46,4.45,5.28,6.73,7.25
67,New Zealand,6.15,5.45,5.28,4.75,4.05,3.83,3.83,3.68,4.13,6.13,6.53,6.53,6.90,6.18,5.66
68,Nicaragua,5.47,6.00,6.50,7.00,6.54,5.56,5.19,5.94,6.06,8.16,7.83,5.93,5.91,5.90,5.90
69,Nigeria,13.10,13.60,12.60,14.80,13.40,11.90,12.30,12.70,14.90,19.70,21.10,23.90,NA,NA,NA
70,Norway,3.43,3.55,3.89,4.49,4.47,4.62,3.43,2.51,2.60,3.16,3.58,3.28,3.22,3.50,3.70
71,Pakistan,6.87,7.82,8.27,8.27,7.69,7.69,6.20,5.32,5.20,5.46,5.55,5.95,6.45,6.20,6.75
72,Panama,13.52,14.71,14.11,13.65,12.35,10.33,9.11,6.78,5.85,6.93,6.85,4.66,4.25,4.32,4.32
73,Paraguay,7.30,7.60,10.80,8.10,7.30,5.80,6.70,5.60,5.70,6.40,5.70,5.60,5.80,5.40,5.50
74,Peru,7.85,9.25,9.42,9.42,9.44,9.58,8.54,8.42,8.38,8.39,7.88,7.73,6.80,7.52,6.00
75,Philippines,11.18,11.13,11.40,11.40,11.83,11.35,7.95,7.33,7.40,7.48,7.33,7.03,7.03,7.10,6.90
76,Poland,16.10,18.26,19.94,19.64,18.97,17.75,13.84,9.60,7.12,8.17,9.64,9.63,10.09,10.33,9.50
77,Portugal,3.92,4.01,5.00,6.26,6.62,7.58,7.65,7.96,7.55,9.43,10.77,12.68,15.53,16.18,14.20
78,Romania,7.16,6.61,8.44,7.03,8.07,7.17,7.27,6.41,5.79,6.86,7.28,7.40,7.04,7.31,7.17
79,Russia,10.59,8.94,8.00,8.60,8.20,7.60,7.20,6.10,6.30,8.40,7.30,6.50,5.50,5.50,5.64
